TransporterID	Protein_Name_generally	DrugID	Drug_Name	Km (microM)	Cell System
DTD0010	Organic cation transporter 1	DR01284	Trospium chloride	106	Primary human bladder urothelium cells (HBU)
DTD0010	Organic cation transporter 1	DR00325	Acyclovir	151.2	Proximal tubule (S2) cells-OCT1
DTD0010	Organic cation transporter 1	DR00102	Dinoprostone	0.657	Proximal tubule (S2) cells-OCT1
DTD0010	Organic cation transporter 1	DR00027	Ganciclovir	516.2	Proximal tubule (S2) cells-OCT1
DTD0010	Organic cation transporter 1	DR00106	Tetraethylammonium	566	Proximal tubule (S2) cells-OCT1
DTD0010	Organic cation transporter 1	DR00007	Prostaglandin f2Alpha	0.477	Proximal tubule (S2) cells-OCT1
DTD0012	Multidrug resistance-associated protein 3	DR00082	Methotrexate	910	Breast carcinoma cell line (MCF7)-MRP3
DTD0012	Multidrug resistance-associated protein 3	DR00134	Folic acid	1960	Human embryonic kidney cells (HEK293)-MRP3
DTD0012	Multidrug resistance-associated protein 3	DR00238	Leucovorin	1740	Human embryonic kidney cells (HEK293)-MRP3
DTD0012	Multidrug resistance-associated protein 3	DR00082	Methotrexate	620	Human embryonic kidney cells (HEK293)-MRP3
DTD0012	Multidrug resistance-associated protein 3	DR00082	Methotrexate	776	Human embryonic kidney cells (HEK293)-MRP3
DTD0012	Multidrug resistance-associated protein 3	DR00208	Estradiol-17beta-glucuronide	25.6	Human embryonic kidney cells (HEK293)-MRP3
DTD0012	Multidrug resistance-associated protein 3	DR00208	Estradiol-17beta-glucuronide	29	Human embryonic kidney cells (HEK293)-MRP3
DTD0012	Multidrug resistance-associated protein 3	DR00053	Sodium taurocholate	30	Human embryonic kidney cells (HEK293)-MRP3
DTD0012	Multidrug resistance-associated protein 3	DR00162	Etoposide	11.4	Spodoptera frugiperda (Sf9) cells-MRP3
DTD0012	Multidrug resistance-associated protein 3	DR00208	Estradiol-17beta-glucuronide	17.7	Spodoptera frugiperda (Sf9) cells-MRP3
DTD0012	Multidrug resistance-associated protein 3	DR00313	Cefadroxil	2.5	Spodoptera frugiperda 21 (Sf21) cells-MRP3
DTD0014	Bile salt export pump	DR01121	Taurocholic acid	4.25	High five cells-BSEP
DTD0014	Bile salt export pump	DR00045	Pravastatin	124	Human embryonic kidney cells (HEK293)-BSEP
DTD0014	Bile salt export pump	DR00053	Sodium taurocholate	4.64	Human embryonic kidney cells (HEK293)-BSEP
DTD0014	Bile salt export pump	DR00053	Sodium taurocholate	15	Spodoptera frugiperda (Sf9) cells-BSEP
DTD0015	Multidrug resistance-associated protein 4	DR00577	Cefazolin	81	Human embryonic kidney cells (HEK293)-MRP4
DTD0015	Multidrug resistance-associated protein 4	DR00320	Ceftizoxime	18	Human embryonic kidney cells (HEK293)-MRP4
DTD0015	Multidrug resistance-associated protein 4	DR00082	Methotrexate	220	Human embryonic kidney cells (HEK293)-MRP4
DTD0015	Multidrug resistance-associated protein 4	DR00044	Topotecan	1.66	Human liver cancer cells (HepG2)-MRP4
DTD0015	Multidrug resistance-associated protein 4	DR00347	Olmesartan medoxomil	26.2	LLC-PK1 cells-MRP4
DTD0015	Multidrug resistance-associated protein 4	DR00210	Alprostadil	2.1	Spodoptera frugiperda (Sf9) cells-MRP4
DTD0015	Multidrug resistance-associated protein 4	DR00102	Dinoprostone	3.4	Spodoptera frugiperda (Sf9) cells-MRP4
DTD0015	Multidrug resistance-associated protein 4	DR00134	Folic acid	170	Spodoptera frugiperda (Sf9) cells-MRP4
DTD0015	Multidrug resistance-associated protein 4	DR00238	Leucovorin	640	Spodoptera frugiperda (Sf9) cells-MRP4
DTD0015	Multidrug resistance-associated protein 4	DR00082	Methotrexate	220	Spodoptera frugiperda (Sf9) cells-MRP4
DTD0015	Multidrug resistance-associated protein 4	DR00082	Methotrexate	1300	Spodoptera frugiperda (Sf9) cells-MRP4
DTD0015	Multidrug resistance-associated protein 4	DR00067	Aminohippuric acid	160	Spodoptera frugiperda (Sf9) cells-MRP4
DTD0015	Multidrug resistance-associated protein 4	DR00295	Cyclic adenosine monophosphate	44.5	Spodoptera frugiperda (Sf9) cells-MRP4
DTD0015	Multidrug resistance-associated protein 4	DR00208	Estradiol-17beta-glucuronide	30.3	Spodoptera frugiperda (Sf9) cells-MRP4
DTD0015	Multidrug resistance-associated protein 4	DR00313	Cefadroxil	0.25	Spodoptera frugiperda 21 (Sf21) cells-MRP4
DTD0016	Multidrug resistance-associated protein 5	DR00295	Cyclic adenosine monophosphate	379	Chinese hamster V79 cells (V79)-MRP5
DTD0016	Multidrug resistance-associated protein 5	DR00134	Folic acid	1000	Human embryonic kidney cells (HEK293)-MRP5
DTD0016	Multidrug resistance-associated protein 5	DR00082	Methotrexate	1174	Human embryonic kidney cells (HEK293)-MRP5
DTD0016	Multidrug resistance-associated protein 5	DR00082	Methotrexate	1200	Human embryonic kidney cells (HEK293)-MRP5
DTD0016	Multidrug resistance-associated protein 5	DR00318	Pemetrexed	281	Human embryonic kidney cells (HEK293)-MRP5
DTD0016	Multidrug resistance-associated protein 5	DR00365	Carboxydichlorofluorescein	11.6	Human embryonic kidney cells (HEK293)-MRP5
DTD0019	Sodium/taurocholate cotransporting polypeptide	DR00223	Rosuvastatin	65	Human cervical cancer cell line (Hela)-NTCP
DTD0019	Sodium/taurocholate cotransporting polypeptide	DR00019	Estrone sulfate	27	Human cervical cancer cell line (Hela)-NTCP
DTD0019	Sodium/taurocholate cotransporting polypeptide	DR00053	Sodium taurocholate	7.5	Human cervical cancer cell line (Hela)-NTCP
DTD0019	Sodium/taurocholate cotransporting polypeptide	DR00053	Sodium taurocholate	7.9	Human cervical cancer cell line (Hela)-NTCP
DTD0019	Sodium/taurocholate cotransporting polypeptide	DR01121	Taurocholic acid	7.9	Human cervical cancer cell line (Hela)-NTCP
DTD0019	Sodium/taurocholate cotransporting polypeptide	DR00053	Sodium taurocholate	2.1	Human embryonic kidney cells (HEK293)-NTCP
DTD0019	Sodium/taurocholate cotransporting polypeptide	DR00206	Pitavastatin calcium	15.1	Oocytes-NTCP
DTD0019	Sodium/taurocholate cotransporting polypeptide	DR01121	Taurocholic acid	6.2	Oocytes-NTCP
DTD0020	Apical sodium-dependent bile acid transporter	DR00053	Sodium taurocholate	9.4	Human embryonic kidney cells (HEK293)-ASBT
DTD0020	Apical sodium-dependent bile acid transporter	DR01121	Taurocholic acid	9.4	Human embryonic kidney cells (HEK293)-ASBT
DTD0020	Apical sodium-dependent bile acid transporter	DR00053	Sodium taurocholate	13.3	Monkey kidney fibroblast-like cell (COS)1-ASBT
DTD0020	Apical sodium-dependent bile acid transporter	DR01121	Taurocholic acid	13.3	Monkey kidney fibroblast-like cell (COS)1-ASBT
DTD0020	Apical sodium-dependent bile acid transporter	DR00053	Sodium taurocholate	16	Monkey kidney fibroblast-like cell (COS)7-ASBT
DTD0021	Peptide transporter 1	DR00078	Valacyclovir	1640	Chinese hamster ovary (CHO) cells-PEPT1
DTD0021	Peptide transporter 1	DR00078	Valacyclovir	2200	Chinese hamster ovary (CHO) cells-PEPT1
DTD0021	Peptide transporter 1	DR00078	Valacyclovir	2700	Chinese hamster ovary (CHO) cells-PEPT1
DTD0021	Peptide transporter 1	DR00078	Valacyclovir	5400	Chinese hamster ovary (CHO) cells-PEPT1
DTD0021	Peptide transporter 1	DR00078	Valacyclovir	6600	Chinese hamster ovary (CHO) cells-PEPT1
DTD0021	Peptide transporter 1	DR00078	Valacyclovir	7400	Chinese hamster ovary (CHO) cells-PEPT1
DTD0021	Peptide transporter 1	DR00078	Valacyclovir	2.2	Chinese hamster ovary (CHO) cells-PEPT1
DTD0021	Peptide transporter 1	DR00078	Valacyclovir	7.4	Chinese hamster ovary (CHO) cells-PEPT1
DTD0021	Peptide transporter 1	DR00313	Cefadroxil	7.97	Human cervical cancer cell line (Hela)-PEPT1
DTD0021	Peptide transporter 1	DR00250	Oseltamivir	8590	Human cervical cancer cell line (Hela)-PEPT1
DTD0021	Peptide transporter 1	DR00275	Bestatin	340	Human enterocyte-like 2 cells (Caco-2)-PEPT1
DTD0021	Peptide transporter 1	DR00330	Cephalexin	7.97	Human enterocyte-like 2 cells (Caco-2)-PEPT1
DTD0021	Peptide transporter 1	DR00250	Oseltamivir	6540	Human enterocyte-like 2 cells (Caco-2)-PEPT1
DTD0021	Peptide transporter 1	DR00078	Valacyclovir	292	Human enterocyte-like 2 cells (Caco-2)-PEPT1
DTD0021	Peptide transporter 1	DR00078	Valacyclovir	3.8	Madin-Darby canine kidney (MDCK) cells-PEPT1
DTD0021	Peptide transporter 1	DR00057	Aminolevulinic acid	394	Oocytes-PEPT1
DTD0021	Peptide transporter 1	DR00057	Aminolevulinic acid	1600	Oocytes-PEPT1
DTD0021	Peptide transporter 1	DR00078	Valacyclovir	5940	Oocytes-PEPT1
DTD0021	Peptide transporter 1	DR00078	Valacyclovir	5.9	Xenopus oocytes-PEPT1
DTD0022	Peptide transporter 2	DR00313	Cefadroxil	150.8	In vivo model (human)
DTD0022	Peptide transporter 2	DR00190	Amoxicillin	1040	Madin-Darby canine kidney (MDCK) cells-PEPT2
DTD0022	Peptide transporter 2	DR00259	Cefaclor	72	Madin-Darby canine kidney (MDCK) cells-PEPT2
DTD0022	Peptide transporter 2	DR00057	Aminolevulinic acid	227	Oocytes-PEPT2
DTD0023	Organic cation/carnitine transporter 2	DR00255	L-carnitine	3.5	Human cervical cancer cell line (Hela)-OCTN2
DTD0023	Organic cation/carnitine transporter 2	DR00277	Ipratropium	53	Human embryonic kidney cells (HEK293)-OCTN2
DTD0023	Organic cation/carnitine transporter 2	DR00255	L-carnitine	2.66	Human embryonic kidney cells (HEK293)-OCTN2
DTD0023	Organic cation/carnitine transporter 2	DR00255	L-carnitine	4.3	Human embryonic kidney cells (HEK293)-OCTN2
DTD0023	Organic cation/carnitine transporter 2	DR00255	L-carnitine	10.9	Human embryonic kidney cells (HEK293)-OCTN2
DTD0023	Organic cation/carnitine transporter 2	DR00150	Acetyl-l-carnitine	8.5	Human embryonic kidney cells (HEK293)-OCTN2
DTD0023	Organic cation/carnitine transporter 2	DR00350	D-carnitine	10.9	Human embryonic kidney cells (HEK293)-OCTN2
DTD0023	Organic cation/carnitine transporter 2	DR01232	Acetylcarnitine	8.5	Human embryonic kidney cells (HEK293)-OCTN2
DTD0023	Organic cation/carnitine transporter 2	DR00255	L-carnitine	14.07	Human enterocyte-like 2 cells (Caco-2)-OCTN2
DTD0023	Organic cation/carnitine transporter 2	DR00255	L-carnitine	4.8	Oocytes-OCTN2
DTD0023	Organic cation/carnitine transporter 2	DR00350	D-carnitine	98.3	Oocytes-OCTN2
DTD0023	Organic cation/carnitine transporter 2	DR00255	L-carnitine	54	Rat brain endothelial cells-OCTN2
DTD0024	Organic anion transporter 1	DR00015	Adefovir	23.8	Chinese hamster ovary (CHO) cells-OAT1
DTD0024	Organic anion transporter 1	DR00066	Cidofovir	30	Chinese hamster ovary (CHO) cells-OAT1
DTD0024	Organic anion transporter 1	DR00066	Cidofovir	58	Chinese hamster ovary (CHO) cells-OAT1
DTD0024	Organic anion transporter 1	DR00174	Tenofovir	33.8	Chinese hamster ovary (CHO) cells-OAT1
DTD0024	Organic anion transporter 1	DR00343	6-Carboxyfluorescein	3.93	Chinese hamster ovary (CHO) cells-OAT1
DTD0024	Organic anion transporter 1	DR00067	Aminohippuric acid	15.4	Chinese hamster ovary (CHO) cells-OAT1
DTD0024	Organic anion transporter 1	DR00083	Glutarate	10.7	Chinese hamster ovary (CHO) cells-OAT1
DTD0024	Organic anion transporter 1	DR00067	Aminohippuric acid	5	Human cervical cancer cell line (Hela)-OAT1
DTD0024	Organic anion transporter 1	DR00091	Dimesna	636	Human cervical cancer cell line (Hela)-OAT1
DTD0024	Organic anion transporter 1	DR00325	Acyclovir	839	Human embryonic kidney cells (HEK293)-OAT1
DTD0024	Organic anion transporter 1	DR00101	Edaravone	10.8	Human embryonic kidney cells (HEK293)-OAT1
DTD0024	Organic anion transporter 1	DR00347	Olmesartan medoxomil	0.0683	Human embryonic kidney cells (HEK293)-OAT1
DTD0024	Organic anion transporter 1	DR00067	Aminohippuric acid	20	Human embryonic kidney cells (HEK293)-OAT1
DTD0024	Organic anion transporter 1	DR00067	Aminohippuric acid	28	Human embryonic kidney cells (HEK293)-OAT1
DTD0024	Organic anion transporter 1	DR00172	Uric acid	197.6	Human embryonic kidney cells (HEK293)-OAT1
DTD0024	Organic anion transporter 1	DR00067	Aminohippuric acid	8.5	Madin-Darby canine kidney (MDCK) cells-OAT1
DTD0024	Organic anion transporter 1	DR00067	Aminohippuric acid	8.9	Monkey kidney fibroblast-like cell (COS)7-OAT1
DTD0024	Organic anion transporter 1	DR00067	Aminohippuric acid	22	OK cells-OAT1
DTD0024	Organic anion transporter 1	DR00015	Adefovir	30	Oocytes-OAT1
DTD0024	Organic anion transporter 1	DR00066	Cidofovir	46	Oocytes-OAT1
DTD0024	Organic anion transporter 1	DR00082	Methotrexate	724	Oocytes-OAT1
DTD0024	Organic anion transporter 1	DR00067	Aminohippuric acid	3.9	Oocytes-OAT1
DTD0024	Organic anion transporter 1	DR00067	Aminohippuric acid	4	Oocytes-OAT1
DTD0024	Organic anion transporter 1	DR00067	Aminohippuric acid	9.3	Oocytes-OAT1
DTD0024	Organic anion transporter 1	DR00325	Acyclovir	342	Proximal tubule (S2) cells-OAT1
DTD0024	Organic anion transporter 1	DR00102	Dinoprostone	0.97	Proximal tubule (S2) cells-OAT1
DTD0024	Organic anion transporter 1	DR00027	Ganciclovir	896	Proximal tubule (S2) cells-OAT1
DTD0024	Organic anion transporter 1	DR00082	Methotrexate	554	Proximal tubule (S2) cells-OAT1
DTD0024	Organic anion transporter 1	DR00296	Zidovudine	45.9	Proximal tubule (S2) cells-OAT1
DTD0024	Organic anion transporter 1	DR00067	Aminohippuric acid	20.1	Proximal tubule (S2) cells-OAT1
DTD0024	Organic anion transporter 1	DR00229	Ochratoxin A	0.42	Proximal tubule (S2) cells-OAT1
DTD0024	Organic anion transporter 1	DR00172	Uric acid	947	Proximal tubule (S2) cells-OAT1
DTD0024	Organic anion transporter 1	DR00007	Prostaglandin f2Alpha	0.575	Proximal tubule (S2) cells-OAT1
DTD0025	Organic anion transporter 3	DR00015	Adefovir	1220	BHK-21 cells-OAT3
DTD0025	Organic anion transporter 3	DR00174	Tenofovir	770	BHK-21 cells-OAT3
DTD0025	Organic anion transporter 3	DR00037	Cimetidine	174	Chinese hamster ovary (CHO) cells-OAT3
DTD0025	Organic anion transporter 3	DR00254	Sitagliptin	162	Chinese hamster ovary (CHO) cells-OAT3
DTD0025	Organic anion transporter 3	DR00091	Dimesna	390	Human cervical cancer cell line (Hela)-OAT3
DTD0025	Organic anion transporter 3	DR00037	Cimetidine	113	Human embryonic kidney cells (HEK293)-OAT3
DTD0025	Organic anion transporter 3	DR00037	Cimetidine	149	Human embryonic kidney cells (HEK293)-OAT3
DTD0025	Organic anion transporter 3	DR00278	Famotidine	124	Human embryonic kidney cells (HEK293)-OAT3
DTD0025	Organic anion transporter 3	DR00101	Edaravone	15.1	Human embryonic kidney cells (HEK293)-OAT3
DTD0025	Organic anion transporter 3	DR00347	Olmesartan medoxomil	0.12	Human embryonic kidney cells (HEK293)-OAT3
DTD0025	Organic anion transporter 3	DR00163	Ranitidine	234	Human embryonic kidney cells (HEK293)-OAT3
DTD0025	Organic anion transporter 3	DR00019	Estrone sulfate	6.3	Human embryonic kidney cells (HEK293)-OAT3
DTD0025	Organic anion transporter 3	DR00019	Estrone sulfate	17	Human embryonic kidney cells (HEK293)-OAT3
DTD0025	Organic anion transporter 3	DR00172	Uric acid	380.3	Human embryonic kidney cells (HEK293)-OAT3
DTD0025	Organic anion transporter 3	DR00325	Acyclovir	772	Human embryonic kidney cells (HEK293)-OCT2
DTD0025	Organic anion transporter 3	DR00019	Estrone sulfate	2.18	Monkey kidney fibroblast-like cell (COS)7-OAT3
DTD0025	Organic anion transporter 3	DR00037	Cimetidine	57.4	Oocytes-OAT3
DTD0025	Organic anion transporter 3	DR00082	Methotrexate	10.9	Oocytes-OAT3
DTD0025	Organic anion transporter 3	DR00082	Methotrexate	17.2	Oocytes-OAT3
DTD0025	Organic anion transporter 3	DR00082	Methotrexate	21.1	Oocytes-OAT3
DTD0025	Organic anion transporter 3	DR00206	Pitavastatin calcium	3.3	Oocytes-OAT3
DTD0025	Organic anion transporter 3	DR00223	Rosuvastatin	7.4	Oocytes-OAT3
DTD0025	Organic anion transporter 3	DR00067	Aminohippuric acid	87.2	Oocytes-OAT3
DTD0025	Organic anion transporter 3	DR00019	Estrone sulfate	3.1	Oocytes-OAT3
DTD0025	Organic anion transporter 3	DR00272	Bumetanide	1586	Proximal tubule (S2) cells-OAT3
DTD0025	Organic anion transporter 3	DR00102	Dinoprostone	0.345	Proximal tubule (S2) cells-OAT3
DTD0025	Organic anion transporter 3	DR00082	Methotrexate	21.1	Proximal tubule (S2) cells-OAT3
DTD0025	Organic anion transporter 3	DR00045	Pravastatin	27.2	Proximal tubule (S2) cells-OAT3
DTD0025	Organic anion transporter 3	DR00127	Tetracycline	566.2	Proximal tubule (S2) cells-OAT3
DTD0025	Organic anion transporter 3	DR00296	Zidovudine	145	Proximal tubule (S2) cells-OAT3
DTD0025	Organic anion transporter 3	DR00019	Estrone sulfate	2.21	Proximal tubule (S2) cells-OAT3
DTD0025	Organic anion transporter 3	DR00019	Estrone sulfate	7.5	Proximal tubule (S2) cells-OAT3
DTD0025	Organic anion transporter 3	DR00229	Ochratoxin A	0.75	Proximal tubule (S2) cells-OAT3
DTD0025	Organic anion transporter 3	DR00007	Prostaglandin f2Alpha	1.092	Proximal tubule (S2) cells-OAT3
DTD0025	Organic anion transporter 3	DR00078	Valacyclovir	57.9	Proximal tubule (S2) cells-OAT3
DTD0026	Organic anion transporter 4	DR00172	Uric acid	106	Human embryonic kidney cells (HEK293)-OAT4
DTD0026	Organic anion transporter 4	DR00019	Estrone sulfate	1.01	Oocytes-OAT4
DTD0026	Organic anion transporter 4	DR00272	Bumetanide	306	Proximal tubule (S2) cells-OAT4
DTD0026	Organic anion transporter 4	DR00102	Dinoprostone	0.154	Proximal tubule (S2) cells-OAT4
DTD0026	Organic anion transporter 4	DR00082	Methotrexate	17.8	Proximal tubule (S2) cells-OAT4
DTD0026	Organic anion transporter 4	DR00045	Pravastatin	257	Proximal tubule (S2) cells-OAT4
DTD0026	Organic anion transporter 4	DR00127	Tetracycline	122.7	Proximal tubule (S2) cells-OAT4
DTD0026	Organic anion transporter 4	DR00296	Zidovudine	152	Proximal tubule (S2) cells-OAT4
DTD0026	Organic anion transporter 4	DR00019	Estrone sulfate	9.9	Proximal tubule (S2) cells-OAT4
DTD0026	Organic anion transporter 4	DR00229	Ochratoxin A	22.9	Proximal tubule (S2) cells-OAT4
DTD0026	Organic anion transporter 4	DR00007	Prostaglandin f2Alpha	0.692	Proximal tubule (S2) cells-OAT4
DTD0027	Urate anion exchanger 1	DR00172	Uric acid	357.6	Oocytes-URAT1
DTD0027	Urate anion exchanger 1	DR00123	Oxypurinol	794	Oocytes-URAT1
DTD0028	Multidrug and toxin extrusion protein 2	DR00325	Acyclovir	4320	Human embryonic kidney cells (HEK293)-MATE2K
DTD0028	Multidrug and toxin extrusion protein 2	DR00037	Cimetidine	120	Human embryonic kidney cells (HEK293)-MATE2K
DTD0028	Multidrug and toxin extrusion protein 2	DR00037	Cimetidine	370	Human embryonic kidney cells (HEK293)-MATE2K
DTD0028	Multidrug and toxin extrusion protein 2	DR00027	Ganciclovir	4280	Human embryonic kidney cells (HEK293)-MATE2K
DTD0028	Multidrug and toxin extrusion protein 2	DR00133	Metformin	1050	Human embryonic kidney cells (HEK293)-MATE2K
DTD0028	Multidrug and toxin extrusion protein 2	DR00133	Metformin	1980	Human embryonic kidney cells (HEK293)-MATE2K
DTD0028	Multidrug and toxin extrusion protein 2	DR00292	Procainamide	1580	Human embryonic kidney cells (HEK293)-MATE2K
DTD0028	Multidrug and toxin extrusion protein 2	DR00292	Procainamide	4100	Human embryonic kidney cells (HEK293)-MATE2K
DTD0028	Multidrug and toxin extrusion protein 2	DR00044	Topotecan	60	Human embryonic kidney cells (HEK293)-MATE2K
DTD0028	Multidrug and toxin extrusion protein 2	DR00019	Estrone sulfate	850	Human embryonic kidney cells (HEK293)-MATE2K
DTD0028	Multidrug and toxin extrusion protein 2	DR00106	Tetraethylammonium	760	Human embryonic kidney cells (HEK293)-MATE2K
DTD0028	Multidrug and toxin extrusion protein 2	DR00106	Tetraethylammonium	830	Human embryonic kidney cells (HEK293)-MATE2K
DTD0028	Multidrug and toxin extrusion protein 2	DR00337	N-methylpyridinium	93.5	Human embryonic kidney cells (HEK293)-MATE2K
DTD0028	Multidrug and toxin extrusion protein 2	DR00337	N-methylpyridinium	110	Human embryonic kidney cells (HEK293)-MATE2K
DTD0029	Organic anion transporting polypeptide 1A2	DR00026	Fexofenadine	6.4	Human cervical cancer cell line (Hela)-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR00223	Rosuvastatin	2.6	Human cervical cancer cell line (Hela)-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR00019	Estrone sulfate	13.6	Human embryonic kidney cells (HEK293)-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR00019	Estrone sulfate	16.1	Human embryonic kidney cells (HEK293)-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR01121	Taurocholic acid	15.9	Human embryonic kidney cells (HEK293)-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR01121	Taurocholic acid	64	Human liver cancer cells (HepG2)-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR00046	Levofloxacin	136	Oocytes-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR00107	Levothyroxine	8	Oocytes-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR00173	Liothyronine	6.5	Oocytes-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR00082	Methotrexate	457	Oocytes-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR00155	Ouabain	5500	Oocytes-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR00206	Pitavastatin calcium	3.4	Oocytes-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR00309	Saquinavir	36.4	Oocytes-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR00305	Bromsulphthalein	20	Oocytes-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR00019	Estrone sulfate	9.6	Oocytes-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR00019	Estrone sulfate	59	Oocytes-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR00053	Sodium taurocholate	60	Oocytes-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR01121	Taurocholic acid	60	Oocytes-OATP1A2
DTD0029	Organic anion transporting polypeptide 1A2	DR01284	Trospium chloride	34.9	Primary human bladder urothelium cells (HBU)
DTD0030	Organic anion transporting polypeptide 1B3	DR00288	Bosentan	141	Chinese hamster ovary (CHO) cells-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00071	Valsartan	23.5	Chinese hamster ovary (CHO) cells-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00208	Estradiol-17beta-glucuronide	15.8	Chinese hamster ovary (CHO) cells-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00019	Estrone sulfate	58	Chinese hamster ovary (CHO) cells-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00344	Fluo-3	3.1	Chinese hamster ovary (CHO) cells-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00223	Rosuvastatin	9.8	Human cervical cancer cell line (Hela)-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00030	Atorvastatin	0.73	Human embryonic kidney cells (HEK293)-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR01322	Cilostazol	2.7	Human embryonic kidney cells (HEK293)-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00026	Fexofenadine	108	Human embryonic kidney cells (HEK293)-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00856	Mesalazine	77.4	Human embryonic kidney cells (HEK293)-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00347	Olmesartan medoxomil	44.2	Human embryonic kidney cells (HEK293)-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00206	Pitavastatin calcium	3.25	Human embryonic kidney cells (HEK293)-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00223	Rosuvastatin	14.2	Human embryonic kidney cells (HEK293)-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00248	Telmisartan	0.81	Human embryonic kidney cells (HEK293)-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00248	Telmisartan	3.4	Human embryonic kidney cells (HEK293)-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00071	Valsartan	18.2	Human embryonic kidney cells (HEK293)-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00252	Bilirubin	0.5	Human embryonic kidney cells (HEK293)-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00305	Bromsulphthalein	3.3	Human embryonic kidney cells (HEK293)-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00208	Estradiol-17beta-glucuronide	24.6	Human embryonic kidney cells (HEK293)-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00082	Methotrexate	39.4	Madin-Darby canine kidney (MDCK) cells-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00124	Fluvastatin	7	Madin-Darby canine kidney cells (MDCKII)-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00364	Amanitin	3.7	Madin-Darby canine kidney cells (MDCKII)-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00173	Liothyronine	6.4	Oocytes-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00082	Methotrexate	24.7	Oocytes-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00347	Olmesartan medoxomil	71.8	Oocytes-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00342	Paclitaxel	6.79	Oocytes-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00206	Pitavastatin calcium	3.8	Oocytes-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00196	Rifampicin	2.3	Oocytes-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00252	Bilirubin	0.0391	Oocytes-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00305	Bromsulphthalein	0.4	Oocytes-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00213	Sincalide	11.1	Oocytes-OATP1B3
DTD0030	Organic anion transporting polypeptide 1B3	DR00053	Sodium taurocholate	5.8	Oocytes-OATP1B3
DTD0031	Organic anion transporting polypeptide 2B1	DR00288	Bosentan	202	Chinese hamster ovary (CHO) cells-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00223	Rosuvastatin	2.4	Human cervical cancer cell line (Hela)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00030	Atorvastatin	2.84	Human embryonic kidney cells (HEK293)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00124	Fluvastatin	0.75	Human embryonic kidney cells (HEK293)-OATP2B1
DTD0031	Organic anion transporting polypeptide 2B1	DR00094	Glibenclamide	6.26	Human embryonic kidney cells (HEK293)-OATP2B1
