TransporterID	Protein_Name_generally	Family	SubFamily
DTD0335	Putative sodium-coupled neutral amino acid transporter 8	Amino Acid/Auxin Permease (AAAP) Family	.
DTD0336	Sodium-coupled neutral amino acid transporter 9	Amino Acid/Auxin Permease (AAAP) Family	.
DTD0337	Zrt- and Irt-like protein 1	Zinc (Zn(2+))-Iron (Fe(2+)) Permease (ZIP) Family	.
DTD0338	Zrt- and Irt-like protein 10	Zinc (Zn(2+))-Iron (Fe(2+)) Permease (ZIP) Family	.
DTD0339	Zrt- and Irt-like protein 11	Zinc (Zn(2+))-Iron (Fe(2+)) Permease (ZIP) Family	.
DTD0340	Zrt- and Irt-like protein 12	Zinc (Zn(2+))-Iron (Fe(2+)) Permease (ZIP) Family	.
DTD0341	Zrt- and Irt-like protein 13	Zinc (Zn(2+))-Iron (Fe(2+)) Permease (ZIP) Family	.
DTD0342	Zrt- and Irt-like protein 14	Zinc (Zn(2+))-Iron (Fe(2+)) Permease (ZIP) Family	.
DTD0343	Zrt- and Irt-like protein 2	Zinc (Zn(2+))-Iron (Fe(2+)) Permease (ZIP) Family	.
DTD0344	Zrt- and Irt-like protein 3	Zinc (Zn(2+))-Iron (Fe(2+)) Permease (ZIP) Family	.
DTD0345	Zrt- and Irt-like protein 4	Zinc (Zn(2+))-Iron (Fe(2+)) Permease (ZIP) Family	.
DTD0346	Zrt- and Irt-like protein 5	Zinc (Zn(2+))-Iron (Fe(2+)) Permease (ZIP) Family	.
DTD0347	Zrt- and Irt-like protein 6	Zinc (Zn(2+))-Iron (Fe(2+)) Permease (ZIP) Family	.
DTD0348	Zrt- Irt-like protein 7	Zinc (Zn(2+))-Iron (Fe(2+)) Permease (ZIP) Family	.
DTD0349	Zrt- and Irt-like protein 8	Zinc (Zn(2+))-Iron (Fe(2+)) Permease (ZIP) Family	.
DTD0350	Zrt- and Irt-like protein 9	Zinc (Zn(2+))-Iron (Fe(2+)) Permease (ZIP) Family	.
DTD0351	Neutral and basic amino acid transport protein rBAT	rBAT Transport Accessory Protein (rBAT) Family	.
DTD0352	Lymphocyte activation antigen 4F2	rBAT Transport Accessory Protein (rBAT) Family	.
DTD0353	Iron-regulated transporter 1	Ferroportin (FPN) Family	.
DTD0354	Magnesium transporter protein solute carrier family 41 member 1	Mg(2+) Transporter-E (MGTE) Family	.
DTD0355	Magnesium transporter protein solute carrier family 41 member 2	Mg(2+) Transporter-E (MGTE) Family	.
DTD0356	Magnesium transporter protein solute carrier family 41 member 3	Mg(2+) Transporter-E (MGTE) Family	.
DTD0358	Ammonium transporter Rh type B	Ammonium Transporter Channel (AMT) Family	.
DTD0359	Ammonium transporter Rh type C	Ammonium Transporter Channel (AMT) Family	.
DTD0360	L-type amino acid transporter 3	Major Facilitator Superfamily (MFS)	L-Amino Acid Transporter-3 (LAT3) Family
DTD0361	L-type amino acid transporter 4	Major Facilitator Superfamily (MFS)	L-Amino Acid Transporter-3 (LAT3) Family
DTD0362	Equilibrative nucleobase transporter 1	Major Facilitator Superfamily (MFS)	L-Amino Acid Transporter-3 (LAT3) Family
DTD0363	Choline transporter-like protein 1	Choline Transporter-Like (CTl) Family	.
DTD0364	Choline transporter-like protein 2	Choline Transporter-Like (CTl) Family	.
DTD0366	Choline transporter-like protein 4	Choline Transporter-Like (CTl) Family	.
DTD0367	Choline transporter-like protein 5	Choline Transporter-Like (CTl) Family	.
DTD0368	Proton-associated sugar transporter A	Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family	.
DTD0369	Membrane-associated transporter protein	Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family	.
DTD0370	Solute carrier family 45 member 3	Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family	.
DTD0371	Solute carrier family 45 member 4	Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family	.
DTD0372	Proton-coupled folate transporter	Major Facilitator Superfamily (MFS)	Proton Coupled Folate Transporter/Heme Carrier Protein (PCFT/HCP) Family
DTD0373	Thymic stromal cotransporter homolog	Major Facilitator Superfamily (MFS)	Proton Coupled Folate Transporter/Heme Carrier Protein (PCFT/HCP) Family
DTD0375	Heme transporter HRG1	Heme Transporter, Heme-Responsive Gene Protein (HRG) Family	.
DTD0376	Feline leukemia virus subgroup C receptor-related protein 1	Major Facilitator Superfamily (MFS)	Feline Leukemia Virus Subgroup C Receptor (FLVCR)/Heme Importer Family
DTD0377	Feline leukemia virus subgroup C receptor-related protein 2	Major Facilitator Superfamily (MFS)	Feline Leukemia Virus Subgroup C Receptor (FLVCR)/Heme Importer Family
DTD0380	Anion exchange protein 1	Anion Exchanger (AE) Family	.
DTD0381	Sodium-driven chloride bicarbonate exchanger	Anion Exchanger (AE) Family	.
DTD0382	Sodium bicarbonate transporter-like protein 11	Anion Exchanger (AE) Family	.
DTD0383	Anion exchange protein 2	Anion Exchanger (AE) Family	.
DTD0384	Anion exchange protein 3	Anion Exchanger (AE) Family	.
DTD0385	Electrogenic sodium bicarbonate cotransporter 1	Anion Exchanger (AE) Family	.
DTD0386	Electrogenic sodium bicarbonate cotransporter 4	Anion Exchanger (AE) Family	.
DTD0387	Sodium bicarbonate cotransporter 3	Anion Exchanger (AE) Family	.
DTD0388	Electroneutral sodium bicarbonate exchanger 1	Anion Exchanger (AE) Family	.
DTD0389	Anion exchange protein 4	Anion Exchanger (AE) Family	.
DTD0390	Sugar transporter SWEET1	Sweet, Pq-loop, Saliva, Mtn3 (SWEET) family	.
DTD0391	Organic solute transporter subunit alpha	Organic Solute Transporter (OST) Family	.
DTD0392	Organic solute transporter subunit beta	Organic Solute Transporter (OST) Family	.
DTD0393	Riboflavin transporter 1	Eukaryotic Riboflavin Transporter (E-RFT) Family	.
DTD0394	Riboflavin transporter 3	Eukaryotic Riboflavin Transporter (E-RFT) Family	.
DTD0395	Riboflavin transporter 2	Eukaryotic Riboflavin Transporter (E-RFT) Family	.
DTD0400	Mitochondrial proton/calcium exchanger protein	Mitochondrial Inner membrane k(+)/h(+) and ca(2+)/h(+) Exchanger (LETM1) Family	.
DTD0403	Sideroflexin-1	Mitochondrial Tricarboxylate Carrier (MTC) Family	.
DTD0406	Sideroflexin-4	Mitochondrial Tricarboxylate Carrier (MTC) Family	.
DTD0408	Magnesium transporter NIPA1	Drug/Metabolite Transporter (DMT) Superfamily	NIPA Mg2+ Uptake Permease (NIPA) Family
DTD0409	Magnesium transporter NIPA2	Drug/Metabolite Transporter (DMT) Superfamily	NIPA Mg2+ Uptake Permease (NIPA) Family
DTD0412	NIPA-like protein 3	Drug/Metabolite Transporter (DMT) Superfamily	NIPA Mg2+ Uptake Permease (NIPA) Family
DTD0414	Magnesium transporter protein 1	Magnesium Transporter1 (MAGT1) Family	.
DTD0415	Tumor suppressor candidate 3	Magnesium Transporter1 (MAGT1) Family	.
DTD0416	Major facilitator superfamily domain-containing protein 2A	Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family	.
DTD0418	Sodium/glucose cotransporter 1	Solute:Sodium Symporter (SSS) Family	.
DTD0419	Sodium/glucose cotransporter 5	Solute:Sodium Symporter (SSS) Family	.
DTD0420	Sodium/myo-inositol cotransporter 2	Solute:Sodium Symporter (SSS) Family	.
DTD0421	Sodium-coupled monocarboxylate transporter 2	Solute:Sodium Symporter (SSS) Family	.
DTD0422	Sodium/glucose cotransporter 2	Solute:Sodium Symporter (SSS) Family	.
DTD0423	Sodium/myo-inositol cotransporter	Solute:Sodium Symporter (SSS) Family	.
DTD0424	Sodium/glucose cotransporter 3	Solute:Sodium Symporter (SSS) Family	.
DTD0425	Sodium/iodide cotransporter	Solute:Sodium Symporter (SSS) Family	.
DTD0426	Sodium-dependent multivitamin transporter	Solute:Sodium Symporter (SSS) Family	.
DTD0427	High affinity choline transporter 1	Solute:Sodium Symporter (SSS) Family	.
DTD0428	Sodium-coupled monocarboxylate transporter 1	Solute:Sodium Symporter (SSS) Family	.
DTD0429	Sodium/glucose cotransporter 4	Solute:Sodium Symporter (SSS) Family	.
DTD0433	Progressive ankylosis protein homolog	Multidrug/Oligosaccharidyl-Lipid/Polysaccharide (MOP) Flippase Superfamily	Progressive Ankylosis (ANK) Family
DTD0435	Protein spinster homolog 2	Major Facilitator Superfamily (MFS)	Endosomal Spinster (Spinster) Family
DTD0439	Niemann-Pick C1-like protein 1	Resistance-Nodulation-Cell Division (RND) Superfamily	Eukaryotic (Putative) Sterol Transporter (EST) Family
DTD0440	Sodium- and chloride-dependent GABA transporter 1	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0443	Sodium- and chloride-dependent GABA transporter 3	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0444	Na(+)/Cl(-) betaine/GABA transporter	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0445	Sodium- and chloride-dependent GABA transporter 2	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0446	Amino acid transporter ATB0+	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0447	Sodium-dependent neutral amino acid transporter B(0)AT2	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0449	Sodium-dependent neurotransmitter transporter	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0450	Sodium-dependent neutral amino acid transporter B(0)AT3	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0451	Sodium-dependent neutral amino acid transporter B(0)AT1	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0452	Sodium-dependent noradrenaline transporter	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0453	Sodium/imino-acid transporter 1	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0455	Sodium-dependent dopamine transporter	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0456	Sodium-dependent serotonin transporter	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0457	Sodium- and chloride-dependent glycine transporter 2	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0458	Sodium- and chloride-dependent taurine transporter	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0459	Sodium-dependent proline transporter	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0460	Creatine transporter 1	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0461	Sodium- and chloride-dependent glycine transporter 1	Neurotransmitter:Sodium Symporter (NSS) Family	.
DTD0462	High affinity cationic amino acid transporter 1	Amino Acid-Polyamine-Organocation (APC) Family	Cationic Amino Acid Transporter (CAT) Family
DTD0463	Asc-type amino acid transporter 1	Amino Acid-Polyamine-Organocation (APC) Family	L-type Amino Acid Transporter (LAT) Family
DTD0464	Cystine/glutamate transporter	Amino Acid-Polyamine-Organocation (APC) Family	L-type Amino Acid Transporter (LAT) Family
DTD0465	Sodium-independent aspartate/glutamate transporter 1	Amino Acid-Polyamine-Organocation (APC) Family	L-type Amino Acid Transporter (LAT) Family
DTD0468	Cationic amino acid transporter 2	Amino Acid-Polyamine-Organocation (APC) Family	Cationic Amino Acid Transporter (CAT) Family
DTD0469	Cationic amino acid transporter 3	Amino Acid-Polyamine-Organocation (APC) Family	Cationic Amino Acid Transporter (CAT) Family
DTD0471	L-type amino acid transporter 1	Amino Acid-Polyamine-Organocation (APC) Family	L-type Amino Acid Transporter (LAT) Family
DTD0473	Y+L amino acid transporter 2	Amino Acid-Polyamine-Organocation (APC) Family	L-type Amino Acid Transporter (LAT) Family
DTD0474	Y+L amino acid transporter 1	Amino Acid-Polyamine-Organocation (APC) Family	L-type Amino Acid Transporter (LAT) Family
DTD0475	L-type amino acid transporter 2	Amino Acid-Polyamine-Organocation (APC) Family	L-type Amino Acid Transporter (LAT) Family
DTD0476	Glycoprotein-associated amino acid transporter b0, +AT1	Amino Acid-Polyamine-Organocation (APC) Family	L-type Amino Acid Transporter (LAT) Family
DTD0477	Sodium/calcium exchanger 1	Ca(2+):Cation Antiporter (CACA) Family	.
DTD0478	Sodium/calcium exchanger 2	Ca(2+):Cation Antiporter (CACA) Family	.
DTD0479	Sodium/calcium exchanger 3	Ca(2+):Cation Antiporter (CACA) Family	.
DTD0480	Mitochondrial sodium/calcium exchanger protein	Ca(2+):Cation Antiporter (CACA) Family	.
DTD0481	Sodium/hydrogen exchanger 1	Monovalent Cation:Proton Antiporter-1 (CPA1) family	.
DTD0482	Sodium/hydrogen exchanger 2	Monovalent Cation:Proton Antiporter-1 (CPA1) family	.
DTD0483	Sodium/hydrogen exchanger 3	Monovalent Cation:Proton Antiporter-1 (CPA1) family	.
DTD0488	Sodium/hydrogen exchanger 4	Monovalent Cation:Proton Antiporter-1 (CPA1) family	.
DTD0489	Sodium/hydrogen exchanger 5	Monovalent Cation:Proton Antiporter-1 (CPA1) family	.
DTD0490	Sodium/hydrogen exchanger 6	Monovalent Cation:Proton Antiporter-1 (CPA1) family	.
DTD0491	Sodium/hydrogen exchanger 7	Monovalent Cation:Proton Antiporter-1 (CPA1) family	.
DTD0493	Sodium/hydrogen exchanger 8	Monovalent Cation:Proton Antiporter-1 (CPA1) family	.
DTD0494	Sodium/hydrogen exchanger 9	Monovalent Cation:Proton Antiporter-1 (CPA1) family	.
DTD0495	Sodium/hydrogen exchanger 9B1	Monovalent Cation:Proton Antiporter-1 (CPA1) family	.
DTD0496	Sodium/hydrogen exchanger 9B2	Monovalent Cation:Proton Antiporter-1 (CPA1) family	.
DTD0497	Sodium/hydrogen exchanger 10	Monovalent Cation:Proton Antiporter-1 (CPA1) family	.
DTD0498	Sodium/hydrogen exchanger 11	Monovalent Cation:Proton Antiporter-1 (CPA1) family	.
DTD0499	Organic anion transporting polypeptide 1C1	Organo Anion Transporter (OAT) Family	.
DTD0500	Organic anion transporting polypeptide 2A1	Organo Anion Transporter (OAT) Family	.
DTD0501	Organic anion transporting polypeptide 3A1	Organo Anion Transporter (OAT) Family	.
DTD0502	Organic anion transporting polypeptide 4A1	Organo Anion Transporter (OAT) Family	.
DTD0503	Organic anion transporting polypeptide 4C1	Organo Anion Transporter (OAT) Family	.
DTD0504	Organic anion transporting polypeptide 5A1	Organo Anion Transporter (OAT) Family	.
DTD0505	Organic anion-transporting polypeptide 6A1	Organo Anion Transporter (OAT) Family	.
DTD0510	Voltage-gated potassium channel Kv11.1	Voltage-Gated Ion Channel (VIC) Superfamily	.
DTD0511	ATP-sensitive inward rectifier potassium channel 11	Inward Rectifier K(+) Channel (IRK-C) Family	.
DTD0512	Calcium-activated potassium channel subunit alpha-1	Voltage-Gated Ion Channel (VIC) Superfamily	.
DTD0513	Voltage-gated potassium channel Kv7.1	Voltage-Gated Ion Channel (VIC) Superfamily	.
DTD0514	Annexin A11	General Secretory Pathway (SEC) Family	.
DTD0515	Probable phospholipid-transporting ATPase VA	P-Type ATPase (P-ATPase) Superfamily	.
DTD0516	Plasma membrane calcium-transporting ATPase 1	P-Type ATPase (P-ATPase) Superfamily	.
DTD0517	ATP synthase subunit epsilon	P-Type ATPase (P-ATPase) Superfamily	.
DTD0518	Voltage-gated calcium channel alpha Cav2.1	Voltage-Gated Ion Channel (VIC) Superfamily	.
DTD0519	Voltage-gated calcium channel alpha Cav2.2	Voltage-Gated Ion Channel (VIC) Superfamily	.
DTD0520	Voltage-gated calcium channel alpha Cav2.3	Voltage-Gated Ion Channel (VIC) Superfamily	.
DTD0521	Voltage-dependent calcium channel alpha-2/delta-3	Ca(2+) Channel Auxiliary Subunit Alpha2Delta Types 1-4 (CCA-Alpha2Delta) Family	.
DTD0522	Voltage-dependent L-type calcium channel beta-4	Ca(2+) Channel Auxiliary Subunit Beta Types 1-4 (CCA-Beta) Family	.
DTD0523	Voltage-dependent calcium channel gamma-2	Ca(+) Channel Auxiliary Subunit Gama1-Gama8 (CCAgama) Family	.
DTD0524	Voltage-dependent calcium channel gamma-3	Ca(+) Channel Auxiliary Subunit Gama1-Gama8 (CCAgama) Family	.
DTD0525	Inward rectifier K(+) channel Kir3.2	Inward Rectifier K(+) Channel (IRK-C) Family	.
DTD0526	Voltage-gated sodium channel alpha Nav1.1	Voltage-Gated Ion Channel (VIC) Superfamily	.
DTD0527	Voltage-gated sodium channel alpha Nav1.4	Voltage-Gated Ion Channel (VIC) Superfamily	.
DTD0528	Voltage-gated sodium channel alpha Nav1.6	Voltage-Gated Ion Channel (VIC) Superfamily	.
DTD0529	Voltage-gated sodium channel alpha Nav1.7	Voltage-Gated Ion Channel (VIC) Superfamily	.
DTD0530	Voltage-gated calcium channel alpha Cav3.2	Voltage-Gated Ion Channel (VIC) Superfamily	.
DTD0531	Voltage-gated potassium channel Kv11.3	Voltage-Gated Ion Channel (VIC) Superfamily	.
DTD0532	Potassium channel subfamily T member 1	Voltage-Gated Ion Channel (VIC) Superfamily	.
DTD0533	Copper-transporting ATPase 2	P-Type ATPase (P-ATPase) Superfamily	.
DTD0534	Voltage-gated calcium channel alpha Cav1.2	Voltage-Gated Ion Channel (VIC) Superfamily	.
DTD0535	Voltage-dependent L-type calcium channel beta-2	Ca(2+) Channel Auxiliary Subunit Beta Types 1-4 (CCA-Beta) Family	.
DTD0537	RalBP1-associated Eps domain-containing protein 2	Non ABC Multidrug Exporter (N-MDE) Family	.
DTD0540	Potassium-transporting ATPase alpha chain 2	P-type ATPase (P-ATPase) Superfamily	.
DTD0541	Voltage-gated calcium channel subunit alpha Cav3.1	Na+/K+/Ca2+ Channel Targeting Tarantula Huwentoxin (THT) Family	.
DTD0542	Annexin A2	Annexin (Annexin) Family	.
DTD0543	Small conductance calcium-activated potassium channel protein 1	Voltage-gated Ion Channel (VIC) Superfamily	.
DTD0544	Voltage-gated potassium channel subunit Kv1.5	Voltage-gated Ion Channel (VIC) Superfamily	.
DTD0545	Potassium channel subfamily K member 2	Voltage-gated Ion Channel (VIC) Superfamily	.
DTD0546	Potassium channel subfamily K member 9	Voltage-gated Ion Channel (VIC) Superfamily	.
DTD0547	Potassium channel subfamily K member 4	Voltage-gated Ion Channel (VIC) Superfamily	.
DTD0648	Copper-transporting ATPase 1	P-Type ATPase (P-ATPase) Superfamily	.
